"retweeter","retweeted"
16628116,524396430
71340203,813286
2169372949,1934787661
1979059687,813286
2182804538,12055942
1570754394,22640873
1499963508,813286
484471679,18430394
604970484,813286
459402486,813286
34930576,74014041
1068776743,1063071738
298785293,296072389
238667373,813286
238667373,813286
1940435132,813286
949802688,813286
444382629,28103693
973076142,307214713
161625157,307214713
361543110,14541184
242258544,813286
1686561558,454981972
136766819,14541184
2301086719,813286
407985036,813286
16282034,813286
204584481,14541184
21903726,813286
2183451344,813286
155567243,813286
1080602371,109071031
856078069,813286
853627844,813286
212573765,15808765
212573765,15808765
253522036,813286
312248392,813286
2325798444,813286
2325798444,813286
2325798444,813286
136694063,813286
2325798444,813286
19134557,49697450
53308905,813286
1199596897,813286
1089181016,1091516809
28597804,813286
2320891370,813286
1909638265,91734908
25281508,813286
501217150,813286
30333162,16000856
354330741,427250055
73938917,427250055
327355497,16296069
23234992,427250055
30673121,87060818
141904291,813286
2227462662,78599720
2206914882,813286
2312161562,813286
630864785,15764644
306882366,813286
795398996,813286
199601800,248270337
242258544,813286
228865063,78599720
2199271440,813286
140426315,78599720
147052604,87060818
863699912,38477209
2323464564,813286
1432558303,813286
314995372,991634754
314995372,991634754
314995372,991634754
314995372,991634754
314995372,991634754
2300048636,813286
1292263986,813286
40173650,73938917
553579986,26775504
16478922,78599720
254464908,813286
134761817,26775504
2227462662,78599720
140426315,78599720
216385540,78599720
376327439,16160943
28674574,20179628
1080602371,250188760
312697399,1604366701
448786030,78599720
913919389,813286
32272710,26775504
2304508909,813286
18485974,87060818
22549911,78599720
1380677004,813286
322637932,100222382
53210156,813286
110987019,20179628
343052196,100222382
221228044,20179628
16018868,20179628
275806471,813286
51484206,20179628
882276877,78599720
63277398,78667497
76333279,813286
1319685920,813286
297375737,20179628
80921326,91734908
17753512,321774180
147657826,78599720
2288793602,15442036
59642573,813286
1388302729,555769933
379511613,87347073
28116329,813286
68274372,555769933
242993758,20179628
297369350,26267040
600009568,26775504
21784726,20179628
487656050,555769933
2283435048,431871482
1602173694,80415454
1476654182,813286
242134969,555769933
390696780,80415454
242134969,15988753
36173508,87347073
1167344792,80415454
523439793,15988753
76479694,236396601
36335593,390276551
1531297136,813286
35346950,24467757
2231400908,813286
2323706222,813286
381058048,61542328
2319612657,813286
348569493,87060818
257033299,555769933
18449224,813286
109694744,87060818
177177601,555769933
1388302729,87060818
16422863,87060818
450289646,555769933
499800496,220615738
141667751,220615738
106362713,813286
398382336,813286
474932712,14377605
2325798444,30313925
2325798444,30313925
1724084208,555769933
2325798444,30313925
2325798444,30313925
2325798444,30313925
2325798444,30313925
2325798444,30313925
859077301,813286
363365766,813286
1300091276,555769933
814055359,80415454
238968542,59811175
851106379,155412799
68754498,42984991
1528362258,32708979
1173824917,90694084
1899560786,555769933
508876827,813286
508876827,813286
596792665,191076340
288273567,25388412
17426310,42984991
429371571,191076340
1287110586,30313925
33329054,24800281
404521341,533393603
1287110586,813286
79892424,555769933
2223602131,533393603
1087450885,68754498
11969492,297516831
560299810,813286
308858531,42984991
1497930726,68754498
974585665,555769933
317356940,87060818
241142787,1102161270
26756955,290135058
28625042,68754498
96503405,813286
2255508847,1341994638
566326248,78599720
105208870,59811175
344472543,75274615
331600583,15667802
236061421,182217410
44415155,321774180
37216886,77231473
1171213596,38477209
23339292,321774180
74644440,393469195
103095293,35830380
15275677,17717430
246930321,182217410
11969492,17717430
119758837,17717430
147940111,17717430
1056654140,30313925
1276647637,557449649
17686802,17717430
48123578,20008239
198897956,557449649
45239297,17717430
387803701,17717430
431320399,26054555
112016641,20008239
190246773,20008239
226226537,813286
820694,17717430
15529625,813286
332637055,393469195
574261728,431871482
256116564,61542328
26764334,250188760
2322974838,321774180
2181287320,431871482
574132457,557449649
2288314067,30307942
13503602,20008239
88032582,2184583812
244652156,38477209
348082699,17717430
259479299,1112020050
17264634,813286
240109453,20008239
2297507049,2184583812
283149212,567458901
1469325673,813286
469371578,345134536
1621329858,345134536
44499596,35272425
372579816,345134536
2297507049,35272425
581436283,24467757
270677829,14240875
53503202,533393603
2322974838,1112020050
14775654,14240875
562060738,431871482
901844642,49971121
1558790274,813286
144002329,813286
79376207,1025313223
17717430,15983110
554880256,813286
14531815,234920264
2322974838,24467757
17613067,18190205
158813088,555769933
52358246,91734908
52358246,40037388
230459023,76376525
14247924,17717430
88032582,35272425
621419621,76376525
551419851,1873091689
1687655989,70246837
24023991,1873091689
1890665756,70246837
331756025,275714700
125632328,374932849
25835052,70246837
14793764,172470598
834672494,95493980
81257494,70246837
355861783,813286
561889342,813286
1262954916,70246837
14708814,212503356
81529132,813286
2323272640,1934787661
39153474,20251654
1541965728,345134536
22053247,65686302
13520852,76376525
487851092,345134536
36383745,36745613
15073895,537609709
1377587364,331756025
1377587364,331756025
1377587364,331756025
1377587364,331756025
1377587364,331756025
2288149461,126677368
25168293,36745613
1722907592,813286
2317692109,126677368
2168579284,70246837
91734908,95493980
2305486224,15442036
1244224290,36745613
22265310,20251654
2297507049,126677368
417895155,36745613
2314583196,126677368
91734908,76376525
1604366701,1873091689
1244224290,36745613
1014023048,813286
598485641,253615476
161384117,253615476
87600997,813286
575470393,253615476
926383879,253615476
436751259,126677368
239379122,813286
182596020,813286
1933777994,86139908
79028016,253615476
29342072,253615476
26062623,1873091689
378300399,14240875
44116121,411388609
87600997,813286
2206193213,813286
540314005,813286
47839624,253615476
110002535,253615476
128352412,813286
432045269,813286
2320253824,411388609
48091134,253615476
742062168,813286
1244224290,36745613
101545370,411388609
1557727814,863527548
317907435,43963249
1658279324,1025313223
1472395142,309219233
2275164175,70246837
177210160,1112020050
184126208,345134536
2192999856,51228973
2263252884,30313925
220595687,369505837
2326551674,369505837
403301871,30313925
164801373,30313925
193146881,30313925
2313965082,30313925
2224083049,30313925
366262114,30313925
710838897,30313925
98405198,30313925
382985071,30313925
1199309330,369505837
944595216,30313925
276872554,30313925
1713030468,369505837
130190602,369505837
906193052,30313925
871921008,24467757
191463695,369505837
252919048,30313925
414790615,30313925
296344087,30313925
1527009206,369505837
296344087,369505837
250212996,813286
52696957,369505837
42751191,30313925
191463695,30313925
409658798,30313925
226321171,30313925
36383745,30313925
355283379,30313925
254340803,30313925
2323234477,813286
16190068,30313925
792783356,30313925
131674890,30313925
71369563,30313925
125452185,253615476
423006463,30313925
170450256,30313925
232579939,30313925
267004350,309219233
968067001,30313925
51203205,369505837
56857281,369505837
300354212,30313925
2237408230,1873091689
33775392,35051304
983533794,30313925
2235846166,30313925
572492261,30313925
408320893,30313925
207219685,835953601
189647323,813286
24796125,168720269
244098716,30313925
1379716136,253615476
2312124892,30313925
189647323,30313925
1388302729,128018609
337651231,30313925
2306753708,30313925
363430529,30313925
134921337,30313925
35554147,30313925
200468038,30313925
405106930,30313925
1550586602,30313925
115533837,30313925
1683553004,293131808
51622683,30313925
15946404,30313925
49232280,30313925
17300548,128018609
114023758,30313925
21830671,30313925
2272531993,293131808
47147386,30313925
277444343,293131808
544821867,26504239
1405337395,293131808
232667140,30313925
233908053,369505837
1933192507,293131808
603798545,30313925
21104124,30313925
415096339,30313925
1722907592,76376525
74507350,30313925
19191217,30313925
1071189782,17717430
320885483,30313925
99407070,1702258398
50396479,20251654
39815076,30313925
2314583196,36383745
1336653060,30313925
317105729,30313925
575470393,253615476
30584980,262683074
281951313,30313925
23604354,253615476
48091134,253615476
